atc5,minsan,days
N05BA06,048447080,24
N05BA06,048447078,20
N05BA06,048447066,12
N05BA06,048447054,8
N05BA06,048447041,12
N05BA06,048447039,10
N05BA06,048447027,6
N05BA06,048447015,4
N06BA14,048446102,0
N06BA14,048446090,0
N06BA14,048446088,0
N06BA14,048446076,0
N06BA14,048446064,0
N06BA14,048446052,0
N06BA14,048446049,0
N06BA14,048446037,0
N06BA14,048446025,0
N06BA14,048446013,0
L01XC,048443016,0
H02CA02,048442038,0
H02CA02,048442026,0
H02CA02,048442014,0
B02BX09,048441024,0
B02BX09,048441012,0
L04AA42,048440034,0
L04AA42,048440022,0
L04AA42,048440010,0
M01AX05,048439018,30
V03AC03,048432126,18.51
V03AC03,048432114,11.52
V03AC03,048432102,6.17
V03AC03,048432090,5.76
V03AC03,048432088,9.25
V03AC03,048432076,5.76
V03AC03,048432064,3.08
V03AC03,048432052,2.88
V03AC03,048432049,4.62
V03AC03,048432037,2.88
V03AC03,048432025,1.54
V03AC03,048432013,1.44
B01AC30,048430108,100
B01AC30,048430096,30
B01AC30,048430084,28
B01AC30,048430072,30
B01AC30,048430060,28
B01AC30,048430058,100
B01AC30,048430045,30
B01AC30,048430033,28
B01AC30,048430021,30
B01AC30,048430019,28
M01AE01,048424042,6.66
M01AE01,048424030,3.33
M01AE01,048424028,6.66
M01AE01,048424016,3.33
C10BA07,048417024,32
C10BA07,048417012,28
G03AA10,048416010,28
G03AA10,048415018,28
M01AE03,048414142,4
M01AE03,048414130,3.33
M01AE03,048414128,2.66
M01AE03,048414116,2.5
M01AE03,048414104,2
M01AE03,048414092,1.66
M01AE03,048414080,1.33
M01AE03,048414078,4
M01AE03,048414066,3.33
M01AE03,048414054,2.66
M01AE03,048414041,2.5
M01AE03,048414039,2
M01AE03,048414027,1.66
M01AE03,048414015,1.33
J02AC04,048411021,32
J02AC04,048411019,8
M05BX06,048408049,0
M05BX06,048408037,0
M05BX06,048408025,0
M05BX06,048408013,0
H04AA01,048407023,0
H04AA01,048407011,0
L03AA13,048406019,20
J01MA23,048404077,50
J01MA23,048404065,30
J01MA23,048404053,37.5
J01MA23,048404040,15
J01MA23,048404038,10
J01MA23,048404026,5
J01MA23,048404014,5
L04AA44,048399051,0
L04AA44,048399048,0
L04AA44,048399036,0
L04AA44,048399024,0
L04AA44,048399012,0
N06AX27,048398046,0
N06AX27,048398034,0
N06AX27,048398022,0
N06AX27,048398010,0
M03BX03,048394062,666.66
M03BX03,048394050,333.33
M03BX03,048394047,133.33
M03BX03,048394035,66.66
M03BX03,048394023,33.33
M03BX03,048394011,13.33
M01AE01,048387070,16.66
M01AE01,048387068,16
M01AE01,048387056,10
M01AE01,048387043,8
M01AE01,048387031,6.66
M01AE01,048387029,4
M01AE01,048387017,3.33
S01CA01,048380024,15
S01CA01,048380012,12.5
R06AX26,048379010,10
S01XA20,048374019,30
R06AX26,048373017,10
C05BA01,048372015,20
N06AX16,048371025,15
N06AX16,048371013,10.5
J07BB02,048369060,10
J07BB02,048369058,1
S01AE05,048367015,8.33
C08CA01,048366165,210
C08CA01,048366153,200
C08CA01,048366140,180
C08CA01,048366138,100
C08CA01,048366126,60
C08CA01,048366114,56
C08CA01,048366102,40
C08CA01,048366090,70
C08CA01,048366088,105
C08CA01,048366076,100
C08CA01,048366064,90
C08CA01,048366052,50
C08CA01,048366049,30
C08CA01,048366037,28
C08CA01,048366025,20
C08CA01,048366013,14
J05AE10,048365035,20
J05AE10,048365023,30
J05AE10,048365011,20
J07BX,048364018,10
A10BD25,048363283,98
A10BD25,048363271,30
A10BD25,048363269,28
A10BD25,048363257,14
A10BD25,048363244,7
A10BD25,048363232,98
A10BD25,048363220,28
A10BD25,048363218,14
A10BD25,048363206,7
A10BD25,048363194,98
A10BD25,048363182,30
A10BD25,048363170,28
A10BD25,048363168,14
A10BD25,048363156,7
A10BD25,048363143,98
A10BD25,048363131,30
A10BD25,048363129,28
A10BD25,048363117,14
A10BD25,048363105,7
A10BD25,048363093,98
A10BD25,048363081,28
A10BD25,048363079,14
A10BD25,048363067,7
A10BD25,048363055,98
A10BD25,048363042,30
A10BD25,048363030,28
A10BD25,048363028,14
A10BD25,048363016,7
S01EX05,048362014,0
L01BB06,048359018,1
N01BB20,048358028,33.33
N01BB20,048358016,43.33
J01XA02,048352088,10
J01XA02,048352076,1
J01XA02,048352064,10
J01XA02,048352052,1
J01XA02,048352049,5
J01XA02,048352037,0.5
J01XA02,048352025,5
J01XA02,048352013,0.5
A10BH02,048351023,28
A10BH02,048351011,14
M03AC11,048341059,5
M03AC11,048341046,1
M03AC11,048341034,5
M03AC11,048341022,5
M03AC11,048341010,5
L01XX27,048338038,10
L01XX27,048338026,5
L01XX27,048338014,1
L01XE54,048312019,0
N05CF01,048309013,20
A02BC05,048305445,666.66
A02BC05,048305433,133.33
A02BC05,048305421,130.66
A02BC05,048305419,74.66
A02BC05,048305407,37.33
A02BC05,048305395,18.66
A02BC05,048305383,133.33
A02BC05,048305371,74.66
A02BC05,048305369,37.33
A02BC05,048305357,18.66
A02BC05,048305344,266.66
A02BC05,048305332,133.33
A02BC05,048305320,130.66
A02BC05,048305318,120
A02BC05,048305306,80
A02BC05,048305294,74.66
A02BC05,048305282,6.66
A02BC05,048305270,40
A02BC05,048305268,37.33
A02BC05,048305256,20
A02BC05,048305243,18.66
A02BC05,048305231,9.33
A02BC05,048305229,333.33
A02BC05,048305217,66.66
A02BC05,048305205,65.33
A02BC05,048305193,37.33
A02BC05,048305181,18.66
A02BC05,048305179,9.33
A02BC05,048305167,66.66
A02BC05,048305155,37.33
A02BC05,048305142,18.66
A02BC05,048305130,9.33
A02BC05,048305128,133.33
A02BC05,048305116,66.66
A02BC05,048305104,65.33
A02BC05,048305092,60
A02BC05,048305080,40
A02BC05,048305078,37.33
A02BC05,048305066,33.33
A02BC05,048305054,20
